solver_name,sampler_type,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
OpenJij,N/A,ENZYMES_g154,9,16,lucas,9,5,True,26,56,27,26,26,0.0,0.9935050010681152
OpenJij,N/A,ENZYMES_g487,15,27,lucas,13,7,True,49,97,49,44,44,0.11363636363636363,2.200453281402588
OpenJij,N/A,PROTEINS_g1046,13,22,lucas,9,5,True,34,109,34,41,34,0.0,1.750478744506836
OpenJij,N/A,PROTEINS_g670,14,27,lucas,11,6,True,51,144,46,75,46,0.10869565217391304,1.9209139347076416
OpenJij,N/A,PROTEINS_g751,15,28,lucas,11,6,True,54,147,60,45,45,0.2,2.1768107414245605
OpenJij,N/A,iscas89-s27,9,8,lucas,7,4,True,9,25,12,11,11,-0.18181818181818182,0.9580245018005371
OpenJij,N/A,wafa-padgett,15,27,lucas,17,9,True,69,138,82,68,68,0.014705882352941176,2.118919849395752
QWaveSampler_path,path,ENZYMES_g124,14,31,lucas,13,7,True,62,126,75,61,61,0.01639344262295082,11.216634273529053
QWaveSampler_path,path,ENZYMES_g154,9,16,lucas,9,5,True,26,56,27,26,26,0.0,3.290656328201294
QWaveSampler_path,path,ENZYMES_g487,15,27,lucas,13,7,True,46,97,49,44,44,0.045454545454545456,13.461692571640015
QWaveSampler_path,path,PROTEINS_g1046,13,22,lucas,9,5,True,34,109,34,41,34,0.0,9.119850397109985
QWaveSampler_path,path,PROTEINS_g670,14,27,lucas,11,6,True,43,144,46,75,46,-0.06521739130434782,11.18511962890625
QWaveSampler_path,path,PROTEINS_g751,15,28,lucas,11,6,True,45,147,60,45,45,0.0,13.445966005325317
QWaveSampler_path,path,iscas89-s27,9,8,lucas,7,4,True,9,25,12,11,11,-0.18181818181818182,3.2859883308410645
QWaveSampler_path,path,wafa-padgett,15,27,lucas,17,9,True,70,138,82,68,68,0.029411764705882353,13.432427883148193
SimulatedBifurcation,N/A,ENZYMES_g124,14,31,lucas,13,7,True,71,126,75,61,61,0.16393442622950818,2.2648487091064453
SimulatedBifurcation,N/A,ENZYMES_g154,9,16,lucas,9,5,True,26,56,27,26,26,0.0,1.069981575012207
SimulatedBifurcation,N/A,ENZYMES_g487,15,27,lucas,13,7,True,73,97,49,44,44,0.6590909090909091,2.560739517211914
SimulatedBifurcation,N/A,PROTEINS_g1046,13,22,lucas,9,5,True,41,109,34,41,34,0.20588235294117646,1.9923975467681885
SimulatedBifurcation,N/A,PROTEINS_g670,14,27,lucas,11,6,True,50,144,46,75,46,0.08695652173913043,2.239088773727417
SimulatedBifurcation,N/A,PROTEINS_g751,15,28,lucas,11,6,True,69,147,60,45,45,0.5333333333333333,2.545875072479248
SimulatedBifurcation,N/A,iscas89-s27,9,8,lucas,7,4,True,10,25,12,11,11,-0.09090909090909091,1.0785815715789795
SimulatedBifurcation,N/A,wafa-padgett,15,27,lucas,17,9,False,,138,82,68,68,,2.6088128089904785
