solver_name,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
QWaveSampler,alchemy_g157394_preprocessed,12,13,lucas,5,5,True,25,40,28,25,25,0.0,7.488994359970093
QWaveSampler,alchemy_g157395_preprocessed,12,13,lucas,5,5,True,23,35,24,22,22,0.045454545454545456,7.707782745361328
QWaveSampler,alchemy_g157396_preprocessed,12,13,lucas,5,5,True,21,27,26,21,21,0.0,7.381229400634766
QWaveSampler,alchemy_g157397_preprocessed,12,13,lucas,4,4,True,21,57,23,21,21,0.0,7.3691792488098145
QWaveSampler,alchemy_g157398_preprocessed,12,12,lucas,4,4,True,17,19,17,17,17,0.0,7.3338942527771
QWaveSampler,ENZYMES_g163,12,22,lucas,6,6,True,35,85,43,53,43,-0.18604651162790697,7.348814249038696
QWaveSampler,ENZYMES_g217,15,34,lucas,7,7,True,72,161,97,72,72,0.0,13.629541397094727
QWaveSampler,ENZYMES_g398,14,23,lucas,6,6,True,43,116,54,55,54,-0.2037037037037037,11.249241828918457
QWaveSampler,iscas89-s27,9,8,lucas,4,4,True,9,25,13,12,12,-0.25,3.298861026763916
QWaveSampler,PROTEINS_g176_preprocessed,15,33,lucas,7,7,True,69,153,84,68,68,0.014705882352941176,14.265655755996704
QWaveSampler,PROTEINS_g347_preprocessed,15,27,lucas,6,6,True,43,123,45,65,45,-0.044444444444444446,13.521327257156372
QWaveSampler,PROTEINS_g373_preprocessed,15,25,lucas,6,6,True,39,143,40,47,40,-0.025,14.13173794746399
QWaveSampler,PROTEINS_g42_preprocessed,15,25,lucas,7,7,True,39,121,47,49,47,-0.1702127659574468,13.626418590545654
QWaveSampler,PROTEINS_g96_preprocessed,15,26,lucas,6,6,True,51,150,70,51,51,0.0,13.546961307525635
SimulatedBifurcation,alchemy_g157394_preprocessed,12,13,lucas,5,5,True,26,40,28,25,25,0.04,1.6297261714935303
SimulatedBifurcation,alchemy_g157395_preprocessed,12,13,lucas,5,5,True,29,35,24,22,22,0.3181818181818182,1.6747071743011475
SimulatedBifurcation,alchemy_g157396_preprocessed,12,13,lucas,5,5,True,27,27,26,21,21,0.2857142857142857,1.6659753322601318
SimulatedBifurcation,alchemy_g157397_preprocessed,12,13,lucas,4,4,True,22,57,23,21,21,0.047619047619047616,1.6347925662994385
SimulatedBifurcation,alchemy_g157398_preprocessed,12,12,lucas,4,4,True,17,19,17,17,17,0.0,1.6381919384002686
SimulatedBifurcation,ENZYMES_g163,12,22,lucas,6,6,True,38,85,43,53,43,-0.11627906976744186,1.6635463237762451
SimulatedBifurcation,ENZYMES_g217,15,34,lucas,7,7,True,76,161,97,72,72,0.05555555555555555,2.53197979927063
SimulatedBifurcation,ENZYMES_g398,14,23,lucas,6,6,True,46,116,54,55,54,-0.14814814814814814,2.186605453491211
SimulatedBifurcation,iscas89-s27,9,8,lucas,4,4,True,9,25,13,12,12,-0.25,1.081801414489746
SimulatedBifurcation,PROTEINS_g176_preprocessed,15,33,lucas,7,7,True,78,153,84,68,68,0.14705882352941177,2.527231216430664
SimulatedBifurcation,PROTEINS_g347_preprocessed,15,27,lucas,6,6,True,47,123,45,65,45,0.044444444444444446,2.513328790664673
SimulatedBifurcation,PROTEINS_g373_preprocessed,15,25,lucas,6,6,True,45,143,40,47,40,0.125,2.5235424041748047
SimulatedBifurcation,PROTEINS_g42_preprocessed,15,25,lucas,7,7,True,53,121,47,49,47,0.1276595744680851,2.5609211921691895
SimulatedBifurcation,PROTEINS_g96_preprocessed,15,26,lucas,6,6,True,54,150,70,51,51,0.058823529411764705,2.494950532913208
