solver_name,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
SimulatedBifurcation,PROTEINS_g373_preprocessed,15,25,exact,258,258,False,,143,40,47,40,,2.6510143280029297
SimulatedBifurcation,PROTEINS_g42_preprocessed,15,25,exact,258,258,False,,121,47,49,47,,2.6424481868743896
SimulatedBifurcation,PROTEINS_g96_preprocessed,15,26,exact,266,266,True,139,150,70,51,51,1.7254901960784315,2.6273443698883057
OpenJij,alchemy_g157394_preprocessed,12,13,lucas,5,5,True,26,40,28,25,25,0.04,7.661113023757935
OpenJij,alchemy_g157395_preprocessed,12,13,lucas,5,5,True,22,35,24,22,22,0.0,7.6082916259765625
OpenJij,alchemy_g157396_preprocessed,12,13,lucas,5,5,True,25,27,26,21,21,0.19047619047619047,7.586063861846924
OpenJij,alchemy_g157397_preprocessed,12,13,lucas,4,4,True,21,57,23,21,21,0.0,7.710745573043823
OpenJij,alchemy_g157398_preprocessed,12,12,lucas,4,4,True,27,19,17,17,17,0.5882352941176471,7.716484785079956
OpenJij,ENZYMES_g163,12,22,lucas,6,6,True,35,85,43,53,43,-0.18604651162790697,7.38457727432251
OpenJij,ENZYMES_g217,15,34,lucas,7,7,True,72,161,97,72,72,0.0,10.99577784538269
OpenJij,ENZYMES_g398,14,23,lucas,6,6,True,43,116,54,55,54,-0.2037037037037037,9.79874563217163
OpenJij,iscas89-s27,9,8,lucas,4,4,True,11,25,13,12,12,-0.08333333333333333,4.916721343994141
OpenJij,PROTEINS_g176_preprocessed,15,33,lucas,7,7,True,69,153,84,68,68,0.014705882352941176,10.981527328491211
OpenJij,PROTEINS_g347_preprocessed,15,27,lucas,6,6,True,43,123,45,65,45,-0.044444444444444446,11.079423189163208
OpenJij,PROTEINS_g373_preprocessed,15,25,lucas,6,6,True,55,143,40,47,40,0.375,11.045828342437744
OpenJij,PROTEINS_g42_preprocessed,15,25,lucas,7,7,True,39,121,47,49,47,-0.1702127659574468,10.915202140808105
OpenJij,PROTEINS_g96_preprocessed,15,26,lucas,6,6,True,52,150,70,51,51,0.0196078431372549,11.079749345779419
QWaveSampler,alchemy_g157394_preprocessed,12,13,lucas,5,5,True,24,40,28,25,25,-0.04,37.01360893249512
QWaveSampler,alchemy_g157395_preprocessed,12,13,lucas,5,5,True,22,35,24,22,22,0.0,36.94979429244995
QWaveSampler,alchemy_g157396_preprocessed,12,13,lucas,5,5,True,21,27,26,21,21,0.0,36.95897364616394
QWaveSampler,alchemy_g157397_preprocessed,12,13,lucas,4,4,True,21,57,23,21,21,0.0,36.94829249382019
QWaveSampler,alchemy_g157398_preprocessed,12,12,lucas,4,4,True,17,19,17,17,17,0.0,36.84306716918945
QWaveSampler,ENZYMES_g163,12,22,lucas,6,6,True,35,85,43,53,43,-0.18604651162790697,36.75950074195862
QWaveSampler,ENZYMES_g217,15,34,lucas,7,7,True,72,161,97,72,72,0.0,67.7184271812439
QWaveSampler,ENZYMES_g398,14,23,lucas,6,6,True,43,116,54,55,54,-0.2037037037037037,56.159939765930176
QWaveSampler,iscas89-s27,9,8,lucas,4,4,True,9,25,13,12,12,-0.25,16.595576763153076
QWaveSampler,PROTEINS_g176_preprocessed,15,33,lucas,7,7,True,68,153,84,68,68,0.0,67.75459718704224
QWaveSampler,PROTEINS_g347_preprocessed,15,27,lucas,6,6,True,43,123,45,65,45,-0.044444444444444446,67.70872378349304
QWaveSampler,PROTEINS_g373_preprocessed,15,25,lucas,6,6,True,39,143,40,47,40,-0.025,67.33270573616028
QWaveSampler,PROTEINS_g42_preprocessed,15,25,lucas,7,7,True,39,121,47,49,47,-0.1702127659574468,67.37921023368835
QWaveSampler,PROTEINS_g96_preprocessed,15,26,lucas,6,6,True,51,150,70,51,51,0.0,67.72422695159912
SimulatedBifurcation,alchemy_g157394_preprocessed,12,13,lucas,5,5,True,26,40,28,25,25,0.04,1.6654951572418213
SimulatedBifurcation,alchemy_g157395_preprocessed,12,13,lucas,5,5,True,29,35,24,22,22,0.3181818181818182,1.6695446968078613
SimulatedBifurcation,alchemy_g157396_preprocessed,12,13,lucas,5,5,True,27,27,26,21,21,0.2857142857142857,1.665250539779663
SimulatedBifurcation,alchemy_g157397_preprocessed,12,13,lucas,4,4,True,22,57,23,21,21,0.047619047619047616,1.649244785308838
SimulatedBifurcation,alchemy_g157398_preprocessed,12,12,lucas,4,4,True,17,19,17,17,17,0.0,1.676419734954834
SimulatedBifurcation,ENZYMES_g163,12,22,lucas,6,6,True,38,85,43,53,43,-0.11627906976744186,1.744351863861084
SimulatedBifurcation,ENZYMES_g217,15,34,lucas,7,7,True,76,161,97,72,72,0.05555555555555555,2.5638139247894287
SimulatedBifurcation,ENZYMES_g398,14,23,lucas,6,6,True,46,116,54,55,54,-0.14814814814814814,2.1943459510803223
SimulatedBifurcation,iscas89-s27,9,8,lucas,4,4,True,9,25,13,12,12,-0.25,1.0815815925598145
SimulatedBifurcation,PROTEINS_g176_preprocessed,15,33,lucas,7,7,True,78,153,84,68,68,0.14705882352941177,2.538479804992676
SimulatedBifurcation,PROTEINS_g347_preprocessed,15,27,lucas,6,6,True,47,123,45,65,45,0.044444444444444446,2.5180885791778564
SimulatedBifurcation,PROTEINS_g373_preprocessed,15,25,lucas,6,6,True,45,143,40,47,40,0.125,2.525003671646118
SimulatedBifurcation,PROTEINS_g42_preprocessed,15,25,lucas,7,7,True,53,121,47,49,47,0.1276595744680851,2.537973642349243
SimulatedBifurcation,PROTEINS_g96_preprocessed,15,26,lucas,6,6,True,54,150,70,51,51,0.058823529411764705,2.5709753036499023
