solver_name,beta_schedule_type,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
QWaveSampler_default,default,ENZYMES_g124,14,31,lucas,7,7,True,64,126,75,61,61,0.04918032786885246,1.1869244575500488
QWaveSampler_default,default,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,0.35512495040893555
QWaveSampler_default,default,ENZYMES_g487,15,27,lucas,7,7,True,45,97,49,44,44,0.022727272727272728,1.4366190433502197
QWaveSampler_default,default,PROTEINS_g1046,13,22,lucas,5,5,True,34,109,34,41,34,0.0,0.9722802639007568
QWaveSampler_default,default,PROTEINS_g670,14,27,lucas,6,6,True,44,144,46,75,46,-0.043478260869565216,1.1821482181549072
QWaveSampler_default,default,PROTEINS_g751,15,28,lucas,6,6,True,50,147,60,45,45,0.1111111111111111,1.4438421726226807
QWaveSampler_default,default,iscas89-s27,9,8,lucas,4,4,True,9,25,12,11,11,-0.18181818181818182,0.35015225410461426
QWaveSampler_default,default,wafa-padgett,15,27,lucas,9,9,True,75,138,82,68,68,0.10294117647058823,1.4416356086730957
QWaveSampler_linear,linear,ENZYMES_g124,14,31,lucas,7,7,True,64,126,75,61,61,0.04918032786885246,1.325082778930664
QWaveSampler_linear,linear,ENZYMES_g154,9,16,lucas,5,5,True,27,56,27,26,26,0.038461538461538464,0.4061555862426758
QWaveSampler_linear,linear,ENZYMES_g487,15,27,lucas,7,7,True,46,97,49,44,44,0.045454545454545456,1.5886149406433105
QWaveSampler_linear,linear,PROTEINS_g1046,13,22,lucas,5,5,True,34,109,34,41,34,0.0,1.0929720401763916
QWaveSampler_linear,linear,PROTEINS_g670,14,27,lucas,6,6,True,44,144,46,75,46,-0.043478260869565216,1.317685604095459
QWaveSampler_linear,linear,PROTEINS_g751,15,28,lucas,6,6,True,45,147,60,45,45,0.0,1.5907330513000488
QWaveSampler_linear,linear,iscas89-s27,9,8,lucas,4,4,True,14,25,12,11,11,0.2727272727272727,0.40465831756591797
QWaveSampler_linear,linear,wafa-padgett,15,27,lucas,9,9,True,69,138,82,68,68,0.014705882352941176,1.838341236114502
QWaveSampler_exponential,exponential,ENZYMES_g124,14,31,lucas,7,7,True,66,126,75,61,61,0.08196721311475409,1.1969454288482666
QWaveSampler_exponential,exponential,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,0.35905003547668457
QWaveSampler_exponential,exponential,ENZYMES_g487,15,27,lucas,7,7,True,46,97,49,44,44,0.045454545454545456,1.408742904663086
QWaveSampler_exponential,exponential,PROTEINS_g1046,13,22,lucas,5,5,True,36,109,34,41,34,0.058823529411764705,0.9729678630828857
QWaveSampler_exponential,exponential,PROTEINS_g670,14,27,lucas,6,6,True,49,144,46,75,46,0.06521739130434782,1.18023681640625
QWaveSampler_exponential,exponential,PROTEINS_g751,15,28,lucas,6,6,True,45,147,60,45,45,0.0,1.4254987239837646
QWaveSampler_exponential,exponential,iscas89-s27,9,8,lucas,4,4,True,12,25,12,11,11,0.09090909090909091,0.35665154457092285
QWaveSampler_exponential,exponential,wafa-padgett,15,27,lucas,9,9,False,,138,82,68,68,,1.414259672164917
