solver_name,sampler_type,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
QWaveSampler_path,path,PROTEINS_g751,15,28,lucas,6,6,True,45,147,60,45,45,0.0,16.20504331588745
QWaveSampler_path,path,iscas89-s27,9,8,lucas,4,4,True,9,25,12,11,11,-0.18181818181818182,3.9473013877868652
QWaveSampler_path,path,wafa-padgett,15,27,lucas,9,9,True,75,138,82,68,68,0.10294117647058823,16.47211003303528
SimulatedBifurcation,N/A,ENZYMES_g124,14,31,lucas,7,7,True,70,126,75,61,61,0.14754098360655737,2.57216477394104
SimulatedBifurcation,N/A,ENZYMES_g154,9,16,lucas,5,5,True,26,56,27,26,26,0.0,1.2906482219696045
SimulatedBifurcation,N/A,ENZYMES_g487,15,27,lucas,7,7,True,49,97,49,44,44,0.11363636363636363,2.9464144706726074
SimulatedBifurcation,N/A,PROTEINS_g1046,13,22,lucas,5,5,True,36,109,34,41,34,0.058823529411764705,2.3026280403137207
SimulatedBifurcation,N/A,PROTEINS_g670,14,27,lucas,6,6,True,43,144,46,75,46,-0.06521739130434782,2.5747694969177246
SimulatedBifurcation,N/A,PROTEINS_g751,15,28,lucas,6,6,True,49,147,60,45,45,0.08888888888888889,2.971334934234619
SimulatedBifurcation,N/A,iscas89-s27,9,8,lucas,4,4,True,9,25,12,11,11,-0.18181818181818182,1.2905738353729248
SimulatedBifurcation,N/A,wafa-padgett,15,27,lucas,9,9,False,,138,82,68,68,,3.000622034072876
